model_name,algorithm,batch_size,seq_len,target_total_merge,h,use_naive_local,latency_ms,throughput_samples/s,peak_mem_mb,status
deit_small_patch16_224,tome,16,1000,0,8,True,9.702378064393997,1649.0802454624147,356.55322265625,success
deit_small_patch16_224,tome,16,1000,200,8,True,13.722702860832214,1165.9510638875465,350.62841796875,success
deit_small_patch16_224,tome,16,1000,400,8,True,12.296877726912498,1301.143294690406,344.05078125,success
deit_small_patch16_224,tome,16,1000,600,8,True,12.305497899651527,1300.231825682819,334.625,success
deit_small_patch16_224,tome,16,1000,800,8,True,12.005618885159492,1332.7093049553725,331.39453125,success
deit_small_patch16_224,tome,16,2000,0,8,True,21.101563647389412,758.2376485156561,575.83056640625,success
deit_small_patch16_224,tome,16,2000,400,8,True,27.304744124412537,585.9787561859908,562.24072265625,success
deit_small_patch16_224,tome,16,2000,800,8,True,24.157226085662842,662.3277003437037,549.76171875,success
deit_small_patch16_224,tome,16,2000,1200,8,True,20.220099464058876,791.2918543472014,530.470703125,success
deit_small_patch16_224,tome,16,2000,1600,8,True,17.35043190419674,922.1672456539774,516.2490234375,success
deit_small_patch16_224,tome,16,4000,0,8,True,53.1001952290535,301.31715958825106,1038.88525390625,success
deit_small_patch16_224,tome,16,4000,800,8,True,65.55037692189217,244.08707853907708,1009.15625,success
deit_small_patch16_224,tome,16,4000,1600,8,True,55.75611054897308,286.96406263751993,977.54150390625,success
deit_small_patch16_224,tome,16,4000,2400,8,True,47.12379269301891,339.5312449536834,944.77197265625,success
deit_small_patch16_224,tome,16,4000,3200,8,True,38.50382536649704,415.54312714917734,914.0673828125,success
deit_small_patch16_224,tome,16,8000,0,8,True,147.65555627644062,108.36029746178203,1929.81884765625,success
deit_small_patch16_224,tome,16,8000,1600,8,True,181.24874517321587,88.27647322307867,1870.10888671875,success
deit_small_patch16_224,tome,16,8000,3200,8,True,148.7857349961996,107.53719098412684,1805.177734375,success
deit_small_patch16_224,tome,16,8000,4800,8,True,121.39303877949715,131.803274395849,1743.513671875,success
deit_small_patch16_224,tome,16,8000,6400,8,True,98.70653755962849,162.09665940652027,1682.923828125,success
deit_small_patch16_224,tome,16,16000,0,8,True,485.3739211708307,32.96427620463088,3731.20751953125,success
deit_small_patch16_224,tome,16,16000,3200,8,True,589.3896020203829,27.146729336848175,4645.01513671875,success
deit_small_patch16_224,tome,16,16000,6400,8,True,475.8487495779991,33.62412954576305,4481.37841796875,success
deit_small_patch16_224,tome,16,16000,9600,8,True,378.2655269652605,42.298329769472815,4442.6513671875,success
deit_small_patch16_224,tome,16,16000,12800,8,True,299.39000718295574,53.441997448573765,4443.2529296875,success
